תז,שם פרטי,שם משפחה,אימייל,ססמא,מספר טלפון,תפקיד,חוג לימודים,שפת אם,האם יש לקויות למידה,שנת לימוד
319744773,רים,שפירא,reem.shapira026@afeka.ac.il,RS319744!,052-107-2163,סטודנט,הנדסת חשמל,עברית,כן,1
328844577,יעל,מזרחי,yael.mizrahi027@afeka.ac.il,YM328844!,053-172-9423,סטודנט,הנדסת תוכנה,עברית,לא,2
324271684,אור,שלום,or.shalom028@afeka.ac.il,OS324271!,055-690-8744,סטודנט,מדעי הנתונים,עברית,לא,1
303165048,טל,מלכה,tal.malka029@afeka.ac.il,TM303165!,050-774-8062,סטודנט,הנדסה מכנית,עברית,לא,2
322594364,סמי,פרץ,sami.peretz030@afeka.ac.il,SP322594!,050-162-7596,סטודנט,הנדסה רפואית,עברית,לא,2
306428696,דנה,בר,dana.bar031@afeka.ac.il,DB306428!,052-649-8350,סטודנט,הנדסת מערכות מידע,ערבית,לא,1
329342879,נטע,בר,neta.bar032@afeka.ac.il,NB329342!,050-553-2604,סטודנט,מדעי המחשב,ערבית,לא,1
325285462,נועה,אברהם,noa.avraham033@afeka.ac.il,NA325285!,052-270-7658,סטודנט,הנדסת תעשייה וניהול,עברית,לא,2
305524305,אביב,פרץ,aviv.peretz034@afeka.ac.il,AP305524!,054-102-7396,סטודנט,הנדסת חשמל,עברית,לא,2
314193775,נטע,יצחקי,neta.yitzhaki035@afeka.ac.il,NY314193!,055-777-8973,סטודנט,הנדסת תוכנה,ערבית,לא,1
325097895,שירה,פרץ,shira.peretz036@afeka.ac.il,SP325097!,053-158-1821,סטודנט,מדעי הנתונים,עברית,לא,1
301908561,מוחמד,חדד,mohammad.hadad037@afeka.ac.il,MH301908!,055-182-4044,סטודנט,הנדסה מכנית,ערבית,כן,2
304022727,גל,ג'מאל,gal.jamal038@afeka.ac.il,GJ304022!,055-352-1651,סטודנט,הנדסה רפואית,עברית,לא,1
310615610,רים,סאלח,reem.saleh039@afeka.ac.il,RS310615!,053-309-6147,סטודנט,הנדסת מערכות מידע,עברית,לא,1
315341910,יארא,לוי יקוט,yara.levi_yakut040@afeka.ac.il,YL315341!,053-869-2188,סטודנט,מדעי המחשב,ערבית,לא,2
302458221,אחמד,דוד,ahmad.david041@afeka.ac.il,AD302458!,055-318-9288,סטודנט,הנדסת תעשייה וניהול,עברית,לא,2
312399271,יעל,בר,yael.bar042@afeka.ac.il,YB312399!,053-261-8179,סטודנט,הנדסת חשמל,עברית,לא,2
300262499,נור,סאלח,noor.saleh043@afeka.ac.il,NS300262!,055-406-2697,סטודנט,הנדסת תוכנה,עברית,כן,1
324911370,ליה,דוד,lia.david044@afeka.ac.il,LD324911!,055-259-5462,סטודנט,מדעי הנתונים,עברית,לא,2
323068575,רועי,רוזן,roi.rozen045@afeka.ac.il,RR323068!,053-617-9004,סטודנט,הנדסה מכנית,עברית,לא,2
321283054,שירה,אברהם,shira.avraham046@afeka.ac.il,SA321283!,054-949-5533,סטודנט,הנדסה רפואית,ערבית,לא,1
305421791,אורי,מור,uri.mor047@afeka.ac.il,UM305421!,054-664-8007,סטודנט,הנדסת מערכות מידע,עברית,כן,2
318306972,פאטמה,אזולאי,fatma.azoulay048@afeka.ac.il,FA318306!,050-954-7049,סטודנט,מדעי המחשב,עברית,לא,2
310343433,אורי,מזרחי,uri.mizrahi049@afeka.ac.il,UM310343!,053-915-1653,סטודנט,הנדסת תעשייה וניהול,עברית,לא,1
311867485,גל,דוד,gal.david050@afeka.ac.il,GD311867!,055-995-7658,סטודנט,הנדסת חשמל,עברית,לא,1
326839754,גל,חדד,gal.hadad051@afeka.ac.il,GH326839!,052-522-1406,סטודנט,הנדסת תוכנה,ערבית,לא,2
308952514,טל,בר,tal.bar052@afeka.ac.il,TB308952!,052-906-2771,סטודנט,מדעי הנתונים,עברית,כן,2
306696552,אמיר,שפירא,amir.shapira053@afeka.ac.il,AS306696!,054-458-6000,סטודנט,הנדסה מכנית,עברית,לא,2
322147038,עמית,לוי,amit.levi054@afeka.ac.il,AL322147!,052-508-6378,סטודנט,הנדסה רפואית,עברית,כן,1
321524555,ליאור,עבדאללה,lior.abdalla055@afeka.ac.il,LA321524!,055-509-9785,סטודנט,הנדסת מערכות מידע,עברית,כן,2
319481358,שקד,סויסה,shaked.suissa056@afeka.ac.il,SS319481!,053-139-2776,סטודנט,מדעי המחשב,עברית,לא,1
320340993,עידו,זועבי,ido.zoabi057@afeka.ac.il,IZ320340!,055-218-7311,סטודנט,הנדסת תעשייה וניהול,עברית,לא,1
300056749,תמר,זועבי,tamar.zoabi058@afeka.ac.il,TZ300056!,055-925-9821,סטודנט,הנדסת חשמל,עברית,לא,1
312221244,לואי,מלכה,loai.malka059@afeka.ac.il,LM312221!,054-171-6409,סטודנט,הנדסת תוכנה,עברית,לא,2
317016207,ליה,לוי יקוט,lia.levi_yakut060@afeka.ac.il,LL317016!,053-782-7691,סטודנט,מדעי הנתונים,עברית,לא,1
306437085,מראם,שלום,maram.shalom061@afeka.ac.il,MS306437!,054-780-7211,סטודנט,הנדסה מכנית,עברית,לא,1
313625621,נור,לוי יקוט,noor.levi_yakut062@afeka.ac.il,NL313625!,055-953-1006,סטודנט,הנדסה רפואית,עברית,לא,2
315602414,רים,חסן,reem.hassan063@afeka.ac.il,RH315602!,054-552-4501,סטודנט,הנדסת מערכות מידע,עברית,לא,2
322107362,לואי,חדד,loai.hadad064@afeka.ac.il,LH322107!,050-390-9445,סטודנט,מדעי המחשב,עברית,לא,1
322575276,רוני,בר,roni.bar065@afeka.ac.il,RB322575!,053-330-4262,סטודנט,הנדסת תעשייה וניהול,ערבית,כן,2
315281230,אמיר,ביטון,amir.biton066@afeka.ac.il,AB315281!,054-744-4185,סטודנט,הנדסת חשמל,עברית,לא,2
304951672,אביב,בר,aviv.bar067@afeka.ac.il,AB304951!,050-868-2746,סטודנט,הנדסת תוכנה,עברית,לא,2
315587707,פאטמה,סאלח,fatma.saleh068@afeka.ac.il,FS315587!,050-670-5082,סטודנט,מדעי הנתונים,עברית,כן,1
322400191,אורי,מנסור,uri.mansour069@afeka.ac.il,UM322400!,055-672-6198,סטודנט,הנדסה מכנית,עברית,לא,2
314319043,נור,חורי,noor.khoury070@afeka.ac.il,NK314319!,055-556-3607,סטודנט,הנדסה רפואית,עברית,לא,1
328181122,שקד,בר,shaked.bar071@afeka.ac.il,SB328181!,053-884-9540,סטודנט,הנדסת מערכות מידע,עברית,לא,1
323942592,ירין,ביטון,yarin.biton072@afeka.ac.il,YB323942!,053-340-5451,סטודנט,מדעי המחשב,עברית,לא,1
305061037,רוני,שלום,roni.shalom073@afeka.ac.il,RS305061!,052-492-3503,סטודנט,הנדסת תעשייה וניהול,עברית,כן,1
318207008,טל,אבו,tal.abu074@afeka.ac.il,TA318207!,054-525-2020,סטודנט,הנדסת חשמל,עברית,לא,1
328747156,רים,לוי,reem.levi075@afeka.ac.il,RL328747!,055-489-8814,סטודנט,הנדסת תוכנה,ערבית,לא,2
318059685,אלה,סעיד,ella.said076@afeka.ac.il,ES318059!,055-919-4613,סטודנט,מדעי הנתונים,עברית,לא,2
313047882,יוסף,לוי,yosef.levi077@afeka.ac.il,YL313047!,053-784-7624,סטודנט,הנדסה מכנית,עברית,לא,1
313221125,אורי,לוי,uri.levi078@afeka.ac.il,UL313221!,055-677-1444,סטודנט,הנדסה רפואית,ערבית,לא,2
301687272,נטע,סויסה,neta.suissa079@afeka.ac.il,NS301687!,053-488-6363,סטודנט,הנדסת מערכות מידע,עברית,לא,1
325233262,אלה,אוחיון,ella.ohayon080@afeka.ac.il,EO325233!,054-358-2341,סטודנט,מדעי המחשב,עברית,לא,2
307523647,שירה,עבדאללה,shira.abdalla081@afeka.ac.il,SA307523!,050-899-1659,סטודנט,הנדסת תעשייה וניהול,עברית,לא,1
308004240,מאיה,אזולאי,maya.azoulay082@afeka.ac.il,MA308004!,052-584-2874,סטודנט,מדעי הנתונים,עברית,לא,1
320330385,יובל,חדד,yuval.hadad083@afeka.ac.il,YH320330!,055-865-2876,סטודנט,הנדסת תוכנה,עברית,כן,2
319320532,מאיה,לוי יקוט,maya.levi_yakut084@afeka.ac.il,ML319320!,054-506-4249,סטודנט,הנדסת חשמל,עברית,לא,2
323393915,גל,דוד,gal.david085@afeka.ac.il,GD323393!,053-970-2983,סטודנט,הנדסת תעשייה וניהול,עברית,לא,1
316977226,יובל,ביטון,yuval.biton086@afeka.ac.il,YB316977!,053-112-7882,סטודנט,מדעי המחשב,ערבית,לא,1
323733339,עלי,מנסור,ali.mansour087@afeka.ac.il,AM323733!,052-545-3885,סטודנט,הנדסה מכנית,עברית,לא,2
314615454,אמיר,מנסור,amir.mansour088@afeka.ac.il,AM314615!,055-374-6280,סטודנט,מדעי הנתונים,עברית,כן,2
325181805,ירין,בר,yarin.bar089@afeka.ac.il,YB325181!,054-683-7209,סטודנט,הנדסה רפואית,ערבית,לא,1
307117561,דניאל,מחאמיד,daniel.mahamid090@afeka.ac.il,DM307117!,053-916-5232,סטודנט,הנדסה רפואית,עברית,לא,2
317335133,ליאור,כהן,lior.cohen091@afeka.ac.il,LC317335!,052-187-4954,סטודנט,הנדסת מערכות מידע,עברית,לא,2
321672904,פאטמה,עאמר,fatma.amer092@afeka.ac.il,FA321672!,054-558-1282,סטודנט,הנדסת חשמל,עברית,לא,1
322278801,גל,לוי יקוט,gal.levi_yakut093@afeka.ac.il,GL322278!,055-477-8753,סטודנט,הנדסה רפואית,עברית,לא,1
323583898,רועי,עבדאללה,roi.abdalla094@afeka.ac.il,RA323583!,054-377-6023,סטודנט,הנדסה מכנית,עברית,לא,1
324926952,עידו,גבאי,ido.gabay095@afeka.ac.il,IG324926!,055-880-4033,סטודנט,מדעי הנתונים,עברית,לא,1
320024974,סמי,סאלח,sami.saleh096@afeka.ac.il,SS320024!,053-202-4180,סטודנט,הנדסה מכנית,עברית,לא,2
309204360,נועה,שלום,noa.shalom097@afeka.ac.il,NS309204!,050-155-5786,סטודנט,הנדסת תוכנה,עברית,לא,1
319262398,דנה,כהן,dana.cohen098@afeka.ac.il,DC319262!,053-580-8843,סטודנט,מדעי המחשב,עברית,לא,2
303828129,שקד,עאמר,shaked.amer099@afeka.ac.il,SA303828!,050-510-9056,סטודנט,הנדסת חשמל,עברית,לא,2
327217411,איתי,אזולאי,itai.azoulay100@afeka.ac.il,IA327217!,055-411-2395,סטודנט,מדעי הנתונים,ערבית,לא,1
326027956,מייסם,שפירא,maisam.shapira101@afeka.ac.il,MS326027!,055-489-8381,סטודנט,מדעי המחשב,עברית,לא,1
319080038,הדר,לוי יקוט,hadar.levi_yakut102@afeka.ac.il,HL319080!,055-161-2625,סטודנט,מדעי הנתונים,עברית,לא,2
308048539,רוני,חדד,roni.hadad103@afeka.ac.il,RH308048!,052-665-2229,סטודנט,הנדסת תוכנה,ערבית,לא,1
309773040,מייסם,עאמר,maisam.amer104@afeka.ac.il,MA309773!,050-337-5720,סטודנט,הנדסה מכנית,עברית,לא,1
308876980,סלים,שפירא,salim.shapira105@afeka.ac.il,SS308876!,055-777-4241,סטודנט,הנדסת מערכות מידע,ערבית,לא,1
327737139,איתי,אוחיון,itai.ohayon106@afeka.ac.il,IO327737!,052-173-1977,סטודנט,הנדסת תוכנה,עברית,לא,1
314735544,אחמד,יצחקי,ahmad.yitzhaki107@afeka.ac.il,AY314735!,050-579-5982,סטודנט,הנדסת מערכות מידע,עברית,לא,1
302699180,יוסף,דראושה,yosef.darawshe108@afeka.ac.il,YD302699!,055-140-8078,סטודנט,הנדסה רפואית,עברית,כן,2
325661100,עמית,לוי,amit.levi109@afeka.ac.il,AL325661!,053-690-1659,סטודנט,הנדסת תוכנה,עברית,לא,2
319640403,ליאור,סויסה,lior.suissa110@afeka.ac.il,LS319640!,054-750-9056,סטודנט,הנדסת חשמל,עברית,לא,1
328780746,עידו,דוד,ido.david111@afeka.ac.il,ID328780!,052-437-7744,סטודנט,מדעי המחשב,עברית,לא,1
315261425,מראם,מזרחי,maram.mizrahi112@afeka.ac.il,MM315261!,050-422-5135,סטודנט,הנדסה רפואית,ערבית,לא,2
322067420,לינה,כהן,lina.cohen113@afeka.ac.il,LC322067!,055-573-7770,סטודנט,הנדסת תעשייה וניהול,עברית,לא,2
325501050,יוסף,דראושה,yosef.darawshe114@afeka.ac.il,YD325501!,050-308-5375,סטודנט,הנדסת תוכנה,עברית,לא,1
304074383,פאטמה,מחאמיד,fatma.mahamid115@afeka.ac.il,FM304074!,050-745-4920,סטודנט,הנדסת תוכנה,עברית,כן,2
307539702,טל,אברהם,tal.avraham116@afeka.ac.il,TA307539!,050-572-2924,סטודנט,הנדסת תוכנה,עברית,לא,1
313941542,לינה,אוחיון,lina.ohayon117@afeka.ac.il,LO313941!,054-583-4993,סטודנט,מדעי המחשב,עברית,לא,2
325041422,מייסם,חורי,maisam.khoury118@afeka.ac.il,MK325041!,052-984-2143,סטודנט,הנדסה מכנית,עברית,לא,1
308964826,רועי,חורי,roi.khoury119@afeka.ac.il,RK308964!,050-389-5891,סטודנט,מדעי המחשב,עברית,לא,2
311154833,אמיר,עבדאללה,amir.abdalla120@afeka.ac.il,AA311154!,055-881-9903,סטודנט,הנדסת מערכות מידע,עברית,לא,2
319186345,עומר,בר,omer.bar121@afeka.ac.il,OB319186!,054-339-7730,סטודנט,הנדסת תעשייה וניהול,עברית,לא,2
322269701,אלה,מסרי,ella.masri122@afeka.ac.il,EM322269!,052-607-1606,סטודנט,הנדסת תוכנה,עברית,לא,1
303345769,דנה,דראושה,dana.darawshe123@afeka.ac.il,DD303345!,055-567-1251,סטודנט,הנדסת תוכנה,עברית,לא,2
315753490,איתי,ביטון,itai.biton124@afeka.ac.il,IB315753!,053-446-7512,סטודנט,הנדסת חשמל,עברית,לא,2
310625385,סארה,מסרי,sara.masri125@afeka.ac.il,SM310625!,054-993-9864,סטודנט,הנדסת תעשייה וניהול,עברית,לא,1
307633172,סלים,יצחקי,salim.yitzhaki126@afeka.ac.il,SY307633!,050-544-2612,סטודנט,הנדסת חשמל,עברית,לא,1
310884207,מאיה,מזרחי,maya.mizrahi127@afeka.ac.il,MM310884!,050-400-6873,סטודנט,הנדסה רפואית,עברית,לא,2
305703704,טל,סויסה,tal.suissa128@afeka.ac.il,TS305703!,052-180-7267,סטודנט,מדעי הנתונים,עברית,לא,2
321404527,עמית,מנסור,amit.mansour129@afeka.ac.il,AM321404!,053-570-5183,סטודנט,הנדסת תעשייה וניהול,עברית,לא,1
302478394,מיכל,חדד,michal.hadad130@afeka.ac.il,MH302478!,054-453-5901,סטודנט,הנדסת מערכות מידע,עברית,לא,1
312908163,אייל,מלכה,eyal.malka131@afeka.ac.il,EM312908!,054-209-4886,סטודנט,הנדסת מערכות מידע,עברית,לא,1
300736170,פאטמה,יצחקי,fatma.yitzhaki132@afeka.ac.il,FY300736!,054-381-1132,סטודנט,הנדסת תעשייה וניהול,עברית,לא,1
320369721,מיכל,שפירא,michal.shapira133@afeka.ac.il,MS320369!,053-324-4115,סטודנט,הנדסה מכנית,עברית,לא,2
321080508,יארא,שלום,yara.shalom134@afeka.ac.il,YS321080!,050-742-1645,סטודנט,הנדסה מכנית,עברית,כן,1
303024374,יובל,שלום,yuval.shalom135@afeka.ac.il,YS303024!,053-434-7807,סטודנט,הנדסת תוכנה,עברית,לא,1
316837438,יובל,סאלח,yuval.saleh136@afeka.ac.il,YS316837!,053-950-3695,סטודנט,הנדסה מכנית,עברית,לא,2
326985566,מיכל,אבו,michal.abu137@afeka.ac.il,MA326985!,050-579-2233,סטודנט,הנדסת תוכנה,עברית,לא,1
328378475,סלים,ג'מאל,salim.jamal138@afeka.ac.il,SJ328378!,055-474-2479,סטודנט,הנדסת מערכות מידע,ערבית,לא,2
322576374,נטע,ח'טיב,neta.khatib139@afeka.ac.il,NK322576!,053-698-7242,סטודנט,הנדסה רפואית,ערבית,לא,2
320470961,מאיה,חסן,maya.hassan140@afeka.ac.il,MH320470!,052-763-2035,סטודנט,מדעי המחשב,עברית,לא,1
304690138,טל,גבאי,tal.gabay141@afeka.ac.il,TG304690!,050-138-5986,סטודנט,מדעי המחשב,ערבית,לא,2
313040790,סארה,שלום,sara.shalom142@afeka.ac.il,SS313040!,054-479-9850,סטודנט,הנדסת מערכות מידע,עברית,לא,2
327974097,טל,דוד,tal.david143@afeka.ac.il,TD327974!,054-730-7686,סטודנט,הנדסה מכנית,ערבית,לא,1
307922625,ירין,דראושה,yarin.darawshe144@afeka.ac.il,YD307922!,053-201-7018,סטודנט,הנדסה רפואית,ערבית,לא,1
303076049,ליה,מנסור,lia.mansour145@afeka.ac.il,LM303076!,052-757-1349,סטודנט,הנדסת תעשייה וניהול,עברית,לא,1
302302174,אורי,רוזן,uri.rozen146@afeka.ac.il,UR302302!,055-312-4538,סטודנט,מדעי הנתונים,עברית,לא,1
309303799,מייסם,כהן,maisam.cohen147@afeka.ac.il,MC309303!,052-233-9850,סטודנט,הנדסה מכנית,עברית,כן,1
300498629,מאיה,שלום,maya.shalom148@afeka.ac.il,MS300498!,053-908-4898,סטודנט,הנדסה רפואית,ערבית,לא,1
317652501,אורי,סעיד,uri.said149@afeka.ac.il,US317652!,050-863-2041,סטודנט,מדעי המחשב,עברית,לא,2
315166785,רים,דוד,reem.david150@afeka.ac.il,RD315166!,055-326-1710,סטודנט,הנדסה מכנית,עברית,לא,2
328430621,שירה,עאמר,shira.amer151@afeka.ac.il,SA328430!,054-536-2768,סטודנט,מדעי המחשב,עברית,לא,2
320411074,רוני,חסן,roni.hassan152@afeka.ac.il,RH320411!,052-167-3067,סטודנט,הנדסה מכנית,עברית,לא,2
312781030,איה,חסן,aya.hassan153@afeka.ac.il,AH312781!,055-643-5831,סטודנט,מדעי המחשב,עברית,לא,2
328614975,פאטמה,גבאי,fatma.gabay154@afeka.ac.il,FG328614!,055-838-4522,סטודנט,הנדסת מערכות מידע,עברית,לא,1
313379164,רועי,מנסור,roi.mansour155@afeka.ac.il,RM313379!,054-847-2557,סטודנט,הנדסה רפואית,עברית,לא,1
323045889,יובל,אזולאי,yuval.azoulay156@afeka.ac.il,YA323045!,054-168-2494,סטודנט,הנדסת חשמל,ערבית,כן,2
327238457,לואי,ח'טיב,loai.khatib157@afeka.ac.il,LK327238!,052-669-1982,סטודנט,הנדסה רפואית,עברית,לא,2
329128338,יארא,זועבי,yara.zoabi158@afeka.ac.il,YZ329128!,050-394-6119,סטודנט,הנדסה רפואית,ערבית,לא,1
307524409,איתי,עאמר,itai.amer159@afeka.ac.il,IA307524!,050-458-7022,סטודנט,הנדסת חשמל,עברית,לא,1
320434478,הדר,לוי,hadar.levi160@afeka.ac.il,HL320434!,053-129-3955,סטודנט,הנדסה מכנית,עברית,לא,1
300204876,רועי,עבדאללה,roi.abdalla161@afeka.ac.il,RA300204!,052-990-3347,סטודנט,הנדסת מערכות מידע,ערבית,לא,1
325035356,מאיה,אברהם,maya.avraham162@afeka.ac.il,MA325035!,055-320-7163,סטודנט,הנדסת מערכות מידע,עברית,לא,1
326066277,אייל,חסן,eyal.hassan163@afeka.ac.il,EH326066!,055-710-2391,סטודנט,הנדסת תעשייה וניהול,ערבית,לא,2
309130256,שירה,אברהם,shira.avraham164@afeka.ac.il,SA309130!,054-777-7947,סטודנט,מדעי המחשב,עברית,לא,1
303819081,אור,חורי,or.khoury165@afeka.ac.il,OK303819!,053-540-2816,סטודנט,הנדסה מכנית,עברית,לא,2
301523953,מוחמד,לוי יקוט,mohammad.levi_yakut166@afeka.ac.il,ML301523!,052-504-1897,סטודנט,הנדסת תעשייה וניהול,עברית,לא,2
309712234,אורי,מור,uri.mor167@afeka.ac.il,UM309712!,053-222-1126,סטודנט,מדעי המחשב,עברית,לא,2
316786018,אלה,שפירא,ella.shapira168@afeka.ac.il,ES316786!,055-953-6802,סטודנט,הנדסת חשמל,עברית,לא,2
315426792,הדר,לוי,hadar.levi169@afeka.ac.il,HL315426!,050-982-6129,סטודנט,הנדסת מערכות מידע,עברית,לא,2
303864577,טל,יצחקי,tal.yitzhaki170@afeka.ac.il,TY303864!,054-121-6321,סטודנט,הנדסת תוכנה,עברית,לא,1
302957148,פאטמה,ח'טיב,fatma.khatib171@afeka.ac.il,FK302957!,054-964-2734,סטודנט,מדעי הנתונים,עברית,לא,2
329209952,רוני,ג'מאל,roni.jamal172@afeka.ac.il,RJ329209!,053-863-6562,סטודנט,מדעי הנתונים,עברית,לא,2
317804143,לינה,גבאי,lina.gabay173@afeka.ac.il,LG317804!,055-298-6724,סטודנט,הנדסה רפואית,עברית,לא,1
303449547,איתי,בר,itai.bar174@afeka.ac.il,IB303449!,052-362-4232,סטודנט,הנדסת תוכנה,עברית,לא,2
305944037,חסן,ביטון,hassan.biton175@afeka.ac.il,HB305944!,054-575-8354,סטודנט,הנדסה רפואית,עברית,לא,2
302291306,איתי,דראושה,itai.darawshe176@afeka.ac.il,ID302291!,054-552-5961,סטודנט,הנדסה מכנית,עברית,לא,2
315493506,יעל,לוי יקוט,yael.levi_yakut177@afeka.ac.il,YL315493!,054-138-1932,סטודנט,הנדסה רפואית,עברית,כן,1
312901091,רוני,חורי,roni.khoury178@afeka.ac.il,RK312901!,054-694-1672,סטודנט,מדעי המחשב,עברית,לא,2
320300627,עומר,חסן,omer.hassan179@afeka.ac.il,OH320300!,054-613-3471,סטודנט,הנדסת תעשייה וניהול,עברית,לא,1
316929855,רועי,אברהם,roi.avraham180@afeka.ac.il,RA316929!,052-140-5059,סטודנט,מדעי המחשב,עברית,לא,1
312210389,נור,חדד,noor.hadad181@afeka.ac.il,NH312210!,053-389-7347,סטודנט,הנדסת מערכות מידע,עברית,לא,1
302211634,שירה,אבו,shira.abu182@afeka.ac.il,SA302211!,053-196-7333,סטודנט,הנדסה מכנית,עברית,לא,1
311185773,מייסם,אזולאי,maisam.azoulay183@afeka.ac.il,MA311185!,050-696-3317,סטודנט,הנדסה רפואית,עברית,לא,1
304326899,יארא,ג'מאל,yara.jamal184@afeka.ac.il,YJ304326!,055-825-2388,סטודנט,הנדסה מכנית,עברית,לא,2
322485375,רועי,שלום,roi.shalom185@afeka.ac.il,RS322485!,055-195-7937,סטודנט,הנדסה רפואית,ערבית,לא,1
325707936,אור,אבו,or.abu186@afeka.ac.il,OA325707!,054-296-4711,סטודנט,הנדסת תוכנה,ערבית,לא,1
325866263,דנה,חורי,dana.khoury187@afeka.ac.il,DK325866!,055-955-9626,סטודנט,הנדסת תעשייה וניהול,עברית,לא,1
320040265,נור,שלום,noor.shalom188@afeka.ac.il,NS320040!,054-257-3658,סטודנט,הנדסת תוכנה,עברית,לא,2
301466074,יואב,דראושה,yoav.darawshe189@afeka.ac.il,YD301466!,054-473-4891,סטודנט,מדעי המחשב,עברית,לא,2
317918440,ירין,שפירא,yarin.shapira190@afeka.ac.il,YS317918!,052-416-8684,סטודנט,מדעי הנתונים,עברית,לא,1
325818073,ירין,מנסור,yarin.mansour191@afeka.ac.il,YM325818!,053-896-7256,סטודנט,הנדסת מערכות מידע,עברית,לא,1
329293083,מייסם,שלום,maisam.shalom192@afeka.ac.il,MS329293!,053-153-8873,סטודנט,הנדסה רפואית,עברית,כן,2
309565127,מוחמד,גבאי,mohammad.gabay193@afeka.ac.il,MG309565!,050-881-3626,סטודנט,הנדסה מכנית,עברית,לא,2
307450359,הדר,אברהם,hadar.avraham194@afeka.ac.il,HA307450!,054-457-1436,סטודנט,הנדסת מערכות מידע,ערבית,לא,1
302738224,גל,מסרי,gal.masri195@afeka.ac.il,GM302738!,053-329-1461,סטודנט,הנדסה רפואית,עברית,לא,1
326554327,חסן,אבו,hassan.abu196@afeka.ac.il,HA326554!,052-240-1627,סטודנט,הנדסה מכנית,עברית,לא,2
315052567,אורי,עאמר,uri.amer197@afeka.ac.il,UA315052!,055-105-2298,סטודנט,הנדסת תעשייה וניהול,עברית,לא,2
314202073,מראם,סאלח,maram.saleh198@afeka.ac.il,MS314202!,050-894-5720,סטודנט,מדעי הנתונים,עברית,כן,2
302107458,טל,מנסור,tal.mansour199@afeka.ac.il,TM302107!,050-956-9189,סטודנט,הנדסת תעשייה וניהול,עברית,לא,2
